METRICS
WTR	1.8289
MRR	3.027959144
MTR	2.854641892
TOR	0.9427610335
LAR_WTR	0.5467767511
LAR_MTR	0.3503066367

COUNTS
total_combo	42504
combo_proc_count	141
no_mot_half	141
no_mot_unique	74

WTR_MOTION
Om_x	Om_y	Om_z	Mu_x	Mu_y	Mu_z	Rho_x	Rho_y	Rho_z	Pitch	Total_Resistance
-1	0	0	0	0	-0.4088	-0	-0.448	-0	0	1.8289

CP_TABLE
CP	Individual_Rating	Active_Pct	Best_Resistance_Pct
1	0.93685	2.702703	2.702703
2	0.93685	2.702703	2.702703
3	0.93685	2.702703	2.027027
4	0.93685	2.702703	2.027027
5	0.53772	37.162162	10.135135
6	0.53772	37.162162	9.459459
7	0.53772	37.162162	8.783784
8	0.53772	37.162162	8.108108
9	0.5338636364	37.162162	6.081081
10	0.6670836364	37.162162	9.459459
11	0.5338636364	37.162162	6.081081
12	0.6670836364	37.162162	9.459459
13	0.6133763636	37.162162	5.405405
14	0.6133763636	37.162162	5.405405
15	0.6133763636	37.162162	5.405405
16	0.6133763636	37.162162	5.405405
17	0.5712	3.378378	0.675676
18	0.4698333333	4.054054	0.000000
19	0.5712	3.378378	0.675676
20	0.4698333333	4.054054	0.000000
21	0.5401	3.378378	0.000000
22	0.5401	3.378378	0.000000
23	0.5401	3.378378	0.000000
24	0.5401	3.378378	0.000000
