METRICS
WTR	2.4367
MRR	4.555019442
MTR	17.62779343
TOR	3.869971062
LAR_WTR	0.4103911027
LAR_MTR	0.05672859761

COUNTS
total_combo	44275
combo_proc_count	334
no_mot_half	334
no_mot_unique	213

WTR_MOTION
Om_x	Om_y	Om_z	Mu_x	Mu_y	Mu_z	Rho_x	Rho_y	Rho_z	Pitch	Total_Resistance
0	0	-1	-0.9515	0.0943	0	0.3221	3.2497	0	0	2.4373

CP_TABLE
CP	Individual_Rating	Active_Pct	Best_Resistance_Pct
1	1.58244	39.906103	5.633803
2	1.099626708	37.793427	3.521127
3	1.493495294	39.906103	3.051643
4	1.140635294	39.906103	2.582160
5	1.075828824	39.906103	0.938967
6	1.283438037	38.262911	0.000000
7	1.283438037	38.262911	0.000000
8	0.9560030675	38.262911	0.000000
9	0.9560030675	38.262911	0.000000
10	1.279992086	32.629108	0.000000
11	1.279992086	32.629108	6.807512
12	1.204786331	32.629108	0.000000
13	1.204786331	32.629108	6.572770
14	1.459756757	52.112676	1.877934
15	1.380342342	52.112676	1.408451
16	1.999930114	82.629108	6.807512
17	1.824196023	82.629108	3.286385
18	2.474301984	59.154930	10.798122
19	2.078209506	61.737089	10.093897
20	2.288424336	53.051643	11.502347
21	1.825128125	52.582160	9.154930
22	1.795609205	56.103286	5.868545
23	1.728865085	69.248826	10.093897
