METRICS
WTR	1.3775
MRR	3.019777395
MTR	11.92707414
TOR	3.949653428
LAR_WTR	0.7259528131
LAR_MTR	0.0838428594

COUNTS
total_combo	9248
combo_proc_count	53
no_mot_half	53
no_mot_unique	29

WTR_MOTION
Om_x	Om_y	Om_z	Mu_x	Mu_y	Mu_z	Rho_x	Rho_y	Rho_z	Pitch	Total_Resistance
0	0	-1	-0	0.3065	-0	0.322	0	0	0	1.3775

CP_TABLE
CP	Individual_Rating	Active_Pct	Best_Resistance_Pct
1	2.129885	34.482759	8.620690
2	1.285305263	32.758621	3.448276
3	1.738615	34.482759	0.000000
4	1.12599	34.482759	1.724138
5	1.25673	34.482759	0.000000
6	1.564452941	29.310345	0.000000
7	1.564452941	29.310345	0.000000
8	1.052122222	15.517241	0.000000
9	1.052122222	15.517241	0.000000
10	1.0650375	27.586207	10.344828
11	2.03748125	55.172414	8.620690
12	4.009438095	36.206897	18.965517
13	3.279459091	37.931034	18.965517
14	3.21082381	36.206897	13.793103
15	2.226414286	36.206897	10.344828
16	1.176002778	62.068966	0.000000
17	2.085863889	62.068966	5.172414
