METRICS
WTR	4.481
MRR	6.493529154
MTR	26.75672799
TOR	4.120521732
LAR_WTR	0.2231644722
LAR_MTR	0.03737377755

COUNTS
total_combo	283712
combo_proc_count	1306
no_mot_half	1306
no_mot_unique	718

WTR_MOTION
Om_x	Om_y	Om_z	Mu_x	Mu_y	Mu_z	Rho_x	Rho_y	Rho_z	Pitch	Total_Resistance
0.2619	0.961	-0.0888	-0.2667	0.1597	0.9414	7.0362	-1.7064	2.2828	0.0001	4.9101

CP_TABLE
CP	Individual_Rating	Active_Pct	Best_Resistance_Pct
1	1.690258333	40.111421	0.000000
2	1.690258333	40.111421	5.849582
3	1.235168841	38.440111	0.000000
4	1.235168841	38.440111	4.038997
5	1.737778819	40.111421	0.000000
6	1.737778819	40.111421	3.760446
7	1.389028299	40.111421	0.000000
8	1.389028299	40.111421	3.133705
9	1.219577778	40.111421	0.000000
10	1.219577778	40.111421	0.905292
11	1.35028913	38.440111	0.000000
12	1.35028913	38.440111	0.000000
13	1.047021739	38.440111	0.000000
14	1.047021739	38.440111	0.000000
15	1.110142126	35.376045	0.000000
16	1.110142126	35.376045	0.000000
17	0.8099980315	35.376045	0.000000
18	0.8099980315	35.376045	0.000000
19	1.420303624	84.540390	1.949861
20	1.013218167	83.565460	0.139276
21	1.47299375	82.451253	4.944290
22	1.232887838	82.451253	2.576602
23	0.9685174629	84.540390	1.114206
24	1.018023077	81.476323	0.000000
25	0.7841562393	81.476323	0.000000
26	1.933345055	88.718663	7.799443
27	1.758800785	88.718663	3.830084
28	2.279179136	66.086351	9.679666
29	1.712593207	69.707521	6.476323
30	2.65650523	54.596100	12.883008
31	2.118383777	54.944290	11.281337
32	2.227939976	57.311978	8.704735
33	1.927733703	69.011142	10.933148
