METRICS
WTR	1.8689
MRR	4.577112244
MTR	13.29511973
TOR	2.904696023
LAR_WTR	0.5350741078
LAR_MTR	0.07521556935

COUNTS
total_combo	44275
combo_proc_count	296
no_mot_half	296
no_mot_unique	185

WTR_MOTION
Om_x	Om_y	Om_z	Mu_x	Mu_y	Mu_z	Rho_x	Rho_y	Rho_z	Pitch	Total_Resistance
-0	-0	-1	-0.9983	0.0179	-0	0.3225	17.9874	-0	0	2.0463

CP_TABLE
CP	Individual_Rating	Active_Pct	Best_Resistance_Pct
1	1.302034028	38.918919	5.135135
2	0.9331562044	37.027027	5.135135
3	1.344989583	38.918919	4.864865
4	1.061498611	38.918919	2.972973
5	0.9038145833	38.918919	1.081081
6	1.052838406	37.297297	0.000000
7	1.052838406	37.297297	0.000000
8	0.7964565217	37.297297	0.000000
9	0.7964565217	37.297297	0.000000
10	0.638227193	30.810811	1.621622
11	0.638227193	30.810811	1.891892
12	0.6017973684	30.810811	1.621622
13	0.6017973684	30.810811	1.621622
14	0.757475	49.729730	2.702703
15	0.720776087	49.729730	2.162162
16	1.541751634	82.702703	10.270270
17	1.390213072	82.702703	4.864865
18	1.766852155	62.702703	9.459459
19	1.295763158	66.756757	5.675676
20	1.901998049	55.405405	10.270270
21	1.554304878	55.405405	9.729730
22	1.754508293	55.405405	11.351351
23	1.48455668	66.756757	7.567568
