METRICS
WTR	1.578
MRR	3.528313484
MTR	14.80448929
TOR	4.195910979
LAR_WTR	0.6337135615
LAR_MTR	0.0675470785

COUNTS
total_combo	4823
combo_proc_count	82
no_mot_half	82
no_mot_unique	70

WTR_MOTION
Om_x	Om_y	Om_z	Mu_x	Mu_y	Mu_z	Rho_x	Rho_y	Rho_z	Pitch	Total_Resistance
-0	-0	-1	0	0.3065	-0	0.322	-0	0	0	1.578

CP_TABLE
CP	Individual_Rating	Active_Pct	Best_Resistance_Pct
1	2.151818868	37.857143	10.000000
2	1.557087755	35.000000	5.000000
3	1.711596226	37.857143	1.428571
4	1.19090566	37.857143	1.428571
5	1.367635849	37.857143	1.428571
6	1.687314706	48.571429	9.285714
7	1.610988235	48.571429	7.857143
8	2.071569811	75.714286	4.285714
9	1.808430189	75.714286	3.571429
10	2.868380282	50.714286	10.000000
11	2.389568	53.571429	10.000000
12	2.87055	44.285714	12.857143
13	2.08205	44.285714	7.857143
14	1.528524359	55.714286	2.142857
15	2.321364835	65.000000	12.857143
