METRICS
WTR	2
MRR	2.934794255
MTR	3.54366129
TOR	1.207464981
LAR_WTR	0.5
LAR_MTR	0.2821940129

COUNTS
total_combo	21679
combo_proc_count	31
no_mot_half	31
no_mot_unique	31

WTR_MOTION
Om_x	Om_y	Om_z	Mu_x	Mu_y	Mu_z	Rho_x	Rho_y	Rho_z	Pitch	Total_Resistance
0	-1	-0	-0	-0	0.4762	-0.5415	0	-0	0	2

CP_TABLE
CP	Individual_Rating	Active_Pct	Best_Resistance_Pct
1	0.8304272727	17.741935	1.612903
2	0.8304272727	17.741935	1.612903
3	0.69682	16.129032	4.838710
4	0.8564636364	17.741935	6.451613
5	0.8564636364	17.741935	6.451613
6	0.71713	16.129032	3.225806
7	0.8564636364	17.741935	4.838710
8	0.8564636364	17.741935	4.838710
9	0.71713	16.129032	4.838710
10	0.8304272727	17.741935	1.612903
11	0.8304272727	17.741935	1.612903
12	0.69682	16.129032	3.225806
13	0.8564636364	17.741935	3.225806
14	0.8564636364	17.741935	3.225806
15	0.71713	16.129032	1.612903
16	0.8564636364	17.741935	3.225806
17	0.8564636364	17.741935	3.225806
18	0.71713	16.129032	1.612903
19	0.7991066667	48.387097	9.677419
20	1.373486667	48.387097	29.032258
