METRICS
WTR	2.2956
MRR	6.493486182
MTR	25.58710272
TOR	3.940426144
LAR_WTR	0.435615961
LAR_MTR	0.03908218961

COUNTS
total_combo	283712
combo_proc_count	1303
no_mot_half	1303
no_mot_unique	718

WTR_MOTION
Om_x	Om_y	Om_z	Mu_x	Mu_y	Mu_z	Rho_x	Rho_y	Rho_z	Pitch	Total_Resistance
0.1035	0.9899	-0.0964	-0.2684	0.1199	0.9473	7.441	-0.5654	2.1798	-0.0032	2.2956

CP_TABLE
CP	Individual_Rating	Active_Pct	Best_Resistance_Pct
1	1.62045816	40.111421	0.000000
2	1.62045816	40.111421	5.919220
3	1.172907609	38.440111	0.000000
4	1.172907609	38.440111	4.038997
5	1.654195312	40.111421	0.000000
6	1.654195312	40.111421	3.760446
7	1.315467535	40.111421	0.000000
8	1.315467535	40.111421	3.133705
9	1.167639063	40.111421	0.000000
10	1.167639063	40.111421	0.905292
11	1.294824094	38.440111	0.000000
12	1.294824094	38.440111	0.000000
13	1.001363043	38.440111	0.000000
14	1.001363043	38.440111	0.000000
15	1.080904921	35.376045	0.000000
16	1.080904921	35.376045	0.000000
17	0.7829334646	35.376045	0.000000
18	0.7829334646	35.376045	0.000000
19	1.370432125	84.540390	1.949861
20	0.9626766667	83.565460	0.139276
21	1.435847804	82.451253	4.944290
22	1.197834122	82.451253	2.576602
23	0.9346337727	84.540390	1.114206
24	0.9848846154	81.476323	0.000000
25	0.7524215385	81.476323	0.000000
26	1.842153532	88.718663	7.799443
27	1.671129199	88.718663	3.830084
28	2.183261328	66.086351	9.679666
29	1.628703297	69.707521	6.406685
30	2.526126531	54.596100	12.883008
31	2.002852218	54.944290	11.281337
32	2.095499514	57.311978	8.704735
33	1.835127144	69.011142	10.933148
