METRICS
WTR	1.8562
MRR	2.713817189
MTR	4.041502703
TOR	1.489231743
LAR_WTR	0.5387350501
LAR_MTR	0.2474327184

COUNTS
total_combo	68380
combo_proc_count	147
no_mot_half	147
no_mot_unique	74

WTR_MOTION
Om_x	Om_y	Om_z	Mu_x	Mu_y	Mu_z	Rho_x	Rho_y	Rho_z	Pitch	Total_Resistance
-0	-0	-1	-0	-0	-0	0	0	0	0	1.8562

CP_TABLE
CP	Individual_Rating	Active_Pct	Best_Resistance_Pct
1	0.93685	2.702703	2.702703
2	0.93685	2.702703	2.702703
3	0.93685	2.702703	2.027027
4	0.93685	2.702703	2.027027
5	0.53772	37.162162	8.108108
6	0.53772	37.162162	7.432432
7	0.53772	37.162162	6.756757
8	0.53772	37.162162	6.081081
9	0.5338636364	37.162162	0.000000
10	0.6670836364	37.162162	0.000000
11	0.5338636364	37.162162	0.000000
12	0.6670836364	37.162162	0.000000
13	0.6133763636	37.162162	0.000000
14	0.6133763636	37.162162	0.000000
15	0.6133763636	37.162162	0.000000
16	0.6133763636	37.162162	0.000000
17	0.5712	3.378378	0.675676
18	0.4698333333	4.054054	0.000000
19	0.5712	3.378378	0.675676
20	0.4698333333	4.054054	0.000000
21	0.5401	3.378378	0.000000
22	0.5401	3.378378	0.000000
23	0.5401	3.378378	0.000000
24	0.5401	3.378378	0.000000
25	1.330722727	89.189189	60.810811
