METRICS
WTR	1.7499
MRR	4.555006321
MTR	16.70527653
TOR	3.667454082
LAR_WTR	0.5714612264
LAR_MTR	0.05986132576

COUNTS
total_combo	44275
combo_proc_count	327
no_mot_half	327
no_mot_unique	213

WTR_MOTION
Om_x	Om_y	Om_z	Mu_x	Mu_y	Mu_z	Rho_x	Rho_y	Rho_z	Pitch	Total_Resistance
-0	0	1	0.9975	-0.0218	0	0.3225	14.7559	0	0	1.7499

CP_TABLE
CP	Individual_Rating	Active_Pct	Best_Resistance_Pct
1	1.505796471	39.906103	5.633803
2	1.033301863	37.793427	3.521127
3	1.402788235	39.906103	3.051643
4	1.056687059	39.906103	2.582160
5	1.014674706	39.906103	0.938967
6	1.225877914	38.262911	0.000000
7	1.225877914	38.262911	0.000000
8	0.9085104294	38.262911	0.000000
9	0.9085104294	38.262911	0.000000
10	1.236982014	32.629108	0.000000
11	1.236982014	32.629108	6.807512
12	1.162674101	32.629108	0.000000
13	1.162674101	32.629108	6.572770
14	1.416652252	52.112676	1.877934
15	1.33657027	52.112676	1.408451
16	1.897955682	82.629108	6.807512
17	1.722907386	82.629108	3.286385
18	2.357421429	59.154930	10.798122
19	1.973432319	61.737089	10.093897
20	2.147335398	53.051643	11.502347
21	1.691741071	52.582160	9.154930
22	1.658467364	56.103286	5.868545
23	1.630904068	69.248826	10.093897
