METRICS
WTR	1.0529
MRR	3.019791677
MTR	11.51006897
TOR	3.81154404
LAR_WTR	0.9497578118
LAR_MTR	0.0868804525

COUNTS
total_combo	9248
combo_proc_count	51
no_mot_half	51
no_mot_unique	29

WTR_MOTION
Om_x	Om_y	Om_z	Mu_x	Mu_y	Mu_z	Rho_x	Rho_y	Rho_z	Pitch	Total_Resistance
-0	0	-1	-0	0.3065	0	0.322	0	0	0	1.0529

CP_TABLE
CP	Individual_Rating	Active_Pct	Best_Resistance_Pct
1	2.07176	34.482759	8.620690
2	1.237663158	32.758621	3.448276
3	1.68049	34.482759	0.000000
4	1.06787	34.482759	1.724138
5	1.19861	34.482759	0.000000
6	1.550558824	29.310345	0.000000
7	1.550558824	29.310345	0.000000
8	1.029588889	15.517241	0.000000
9	1.029588889	15.517241	0.000000
10	0.94595	27.586207	10.344828
11	1.9821125	55.172414	8.620690
12	3.891471429	36.206897	18.965517
13	3.16685	37.931034	18.965517
14	3.088442857	36.206897	13.793103
15	2.103995238	36.206897	10.344828
16	1.130011111	62.068966	0.000000
17	2.021283333	62.068966	5.172414
