METRICS
WTR	1.8689
MRR	4.577092109
MTR	13.11896649
TOR	2.866222958
LAR_WTR	0.5350741078
LAR_MTR	0.07622551678

COUNTS
total_combo	44275
combo_proc_count	296
no_mot_half	296
no_mot_unique	185

WTR_MOTION
Om_x	Om_y	Om_z	Mu_x	Mu_y	Mu_z	Rho_x	Rho_y	Rho_z	Pitch	Total_Resistance
0	-0	-1	-0.9975	0.0218	-0	0.3225	14.7559	0	0	1.8689

CP_TABLE
CP	Individual_Rating	Active_Pct	Best_Resistance_Pct
1	1.296433333	38.918919	5.135135
2	0.9242007299	37.027027	5.135135
3	1.322253472	38.918919	4.864865
4	1.041918056	38.918919	2.972973
5	0.8963256944	38.918919	1.081081
6	1.048957971	37.297297	0.000000
7	1.048957971	37.297297	0.000000
8	0.7915333333	37.297297	0.000000
9	0.7915333333	37.297297	0.000000
10	0.6350307018	30.810811	1.621622
11	0.6350307018	30.810811	1.891892
12	0.598122807	30.810811	1.621622
13	0.598122807	30.810811	1.621622
14	0.7549032609	49.729730	2.702703
15	0.7177532609	49.729730	2.162162
16	1.51338366	82.702703	10.270270
17	1.363716993	82.702703	4.864865
18	1.746016379	62.702703	9.459459
19	1.27688583	66.756757	5.675676
20	1.867661463	55.405405	10.270270
21	1.524376585	55.405405	9.729730
22	1.713572195	55.405405	11.351351
23	1.47202915	66.756757	7.567568
