METRICS
WTR	1.2062
MRR	3.528305874
MTR	14.18496714
TOR	4.020333738
LAR_WTR	0.8290499088
LAR_MTR	0.07049716717

COUNTS
total_combo	4823
combo_proc_count	83
no_mot_half	83
no_mot_unique	70

WTR_MOTION
Om_x	Om_y	Om_z	Mu_x	Mu_y	Mu_z	Rho_x	Rho_y	Rho_z	Pitch	Total_Resistance
-0	-0	-1	-0	0.3065	0	0.322	0	-0	0	1.2062

CP_TABLE
CP	Individual_Rating	Active_Pct	Best_Resistance_Pct
1	2.073396226	37.857143	10.000000
2	1.491612245	35.000000	5.000000
3	1.644377358	37.857143	1.428571
4	1.124933962	37.857143	1.428571
5	1.309726415	37.857143	1.428571
6	1.647085294	48.571429	9.285714
7	1.573114706	48.571429	7.857143
8	1.989160377	75.714286	4.285714
9	1.722884906	75.714286	3.571429
10	2.764169014	50.714286	10.000000
11	2.300844	53.571429	10.000000
12	2.744906452	44.285714	12.857143
13	1.959696774	44.285714	7.857143
14	1.426012821	55.714286	2.142857
15	2.225750549	65.000000	12.857143
